Prime,Buckets,,,Groupings,Label,groupings
1297,1201 up to 1300,,,21001,21001 up to 21100,
1301,1301 up to 1400,,,21101,21101 up to 21200,
1303,1301 up to 1400,,,21201,21201 up to 21300,
1307,1301 up to 1400,,,21301,21301 up to 21400,
1319,1301 up to 1400,,,21401,21401 up to 21500,
1321,1301 up to 1400,,,21501,21501 up to 21600,
1327,1301 up to 1400,,,21601,21601 up to 21700,
1361,1301 up to 1400,,,21701,21701 up to 21800,
1367,1301 up to 1400,,,21801,21801 up to 21900,
1373,1301 up to 1400,,,21901,21901 up to 22000,
1381,1301 up to 1400,,,22001,22001 up to 22100,
1399,1301 up to 1400,,,22101,22101 up to 22200,
1409,1401 up to 1500,,,22201,22201 up to 22300,
1423,1401 up to 1500,,,22301,22301 up to 22400,
1427,1401 up to 1500,,,22401,22401 up to 22500,
1429,1401 up to 1500,,,22501,22501 up to 22600,
1433,1401 up to 1500,,,22601,22601 up to 22700,
1439,1401 up to 1500,,,22701,22701 up to 22800,
1447,1401 up to 1500,,,22801,22801 up to 22900,
1451,1401 up to 1500,,,22901,22901 up to 23000,
1453,1401 up to 1500,,,23001,23001 up to 23100,
1459,1401 up to 1500,,,23101,23101 up to 23200,
1471,1401 up to 1500,,,23201,23201 up to 23300,
1481,1401 up to 1500,,,23301,23301 up to 23400,
1483,1401 up to 1500,,,23401,23401 up to 23500,
1487,1401 up to 1500,,,23501,23501 up to 23600,
1489,1401 up to 1500,,,23601,23601 up to 23700,
1493,1401 up to 1500,,,23701,23701 up to 23800,
1499,1401 up to 1500,,,23801,23801 up to 23900,
1511,1501 up to 1600,,,23901,23901 up to 24000,
1523,1501 up to 1600,,,24001,24001 up to 24100,
1531,1501 up to 1600,,,24101,24101 up to 24200,
1543,1501 up to 1600,,,24201,24201 up to 24300,
1549,1501 up to 1600,,,24301,24301 up to 24400,
1553,1501 up to 1600,,,24401,24401 up to 24500,
1559,1501 up to 1600,,,24501,24501 up to 24600,
1567,1501 up to 1600,,,24601,24601 up to 24700,
1571,1501 up to 1600,,,24701,24701 up to 24800,
1579,1501 up to 1600,,,24801,24801 up to 24900,
1583,1501 up to 1600,,,24901,24901 up to 25000,
1597,1501 up to 1600,,,25001,25001 up to 25100,
1601,1601 up to 1700,,,25101,25101 up to 25200,
1607,1601 up to 1700,,,25201,25201 up to 25300,
1609,1601 up to 1700,,,25301,25301 up to 25400,
1613,1601 up to 1700,,,25401,25401 up to 25500,
1619,1601 up to 1700,,,25501,25501 up to 25600,
1621,1601 up to 1700,,,25601,25601 up to 25700,
1627,1601 up to 1700,,,25701,25701 up to 25800,
1637,1601 up to 1700,,,25801,25801 up to 25900,
1657,1601 up to 1700,,,25901,25901 up to 26000,
1663,1601 up to 1700,,,26001,26001 up to 26100,
1667,1601 up to 1700,,,26101,26101 up to 26200,
1669,1601 up to 1700,,,26201,26201 up to 26300,
1693,1601 up to 1700,,,26301,26301 up to 26400,
